title,description,theme,data type,data subtype,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,temporal,spatial,distribution.0.downloadURL,distribution.0.title,distribution.0.description,distribution.0.format,distribution.0.size,distribution.1.downloadURL,distribution.1.title,distribution.1.description,distribution.1.format,distribution.1.size,distribution.2.downloadURL,distribution.2.title,distribution.2.description,distribution.2.format,distribution.2.size,distribution.3.downloadURL,distribution.3.title,distribution.3.description,distribution.3.format,distribution.3.size,distribution.4.downloadURL,distribution.4.title,distribution.4.description,distribution.4.format
New Zealand Nautical Almanac (NZ 204)  2018-2019,"The New Zealand Nautical Almanac (NZ 204) is published annually by LINZ. It covers the period 1 July to 30 June and provides official information to aid safe navigation in New Zealand waters. It is produced by the New Zealand Hydrographic Authority as required by New Zealand's obligations under the International Maritime Organisation (IMO) and International Hydrographic Organisation (IHO).  LINZ accepts no liability for any direct, indirect, consequential or incidental damages that result from any errors in the information, whether due to LINZ or a third party, or that arise from the use, or misuse, of the information available from this site.",Hydrography,Sea level,Reports,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Reports,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/nautical-information/new-zealand-nautical-almanac-nz-204/download-new-zealand-nautical-almanac-nz-204,Annual,2018-01-01/2019-12-31,No,https://www.linz.govt.nz/system/files_force/media/doc/hydro_201819-almanac_full-nautical-almanac_pdf.pdf,New Zealand Nautical Almanac 2018/19,,PDF,12MB,,,,,,,,,,,,,,,,,,,
"Auckland, Sea Level Data 2009","Sea level data recorded at the monitoring sites is available for download.  The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes. The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2009-01-01/2009-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2009/41/,Auckland Sea Level Data 2009 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2009/40/,Auckland Sea Level Data 2009 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
"Auckland, Sea Level Data 2010","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2010-01-01/2010-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2010/41/,Auckland Sea Level Data 2010 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2010/40/,Auckland Sea Level Data 2010 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
"Auckland, Sea Level Data 2011","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2011-01-01/2011-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2011/41/,Auckland Sea Level Data 2011 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2011/40/,Auckland Sea Level Data 2011 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
"Auckland, Sea Level Data 2012","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2012-01-01/2012-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2012/41/,Auckland Sea Level Data 2012 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2012/40/,Auckland Sea Level Data 2012 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
"Auckland, Sea Level Data 2013","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2013-01-01/2013-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2013/41/,Auckland Sea Level Data 2013 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2013/40/,Auckland Sea Level Data 2013 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
"Auckland, Sea Level Data 2014","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2014-01-01/2014-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2014/41/,Auckland Sea Level Data 2014 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2014/40/,Auckland Sea Level Data 2014 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
"Auckland, Sea Level Data 2015","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2015-01-01/2015-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2015/41/,Auckland Sea Level Data 2015 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2015/40/,Auckland Sea Level Data 2015 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
"Auckland, Sea Level Data 2016","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2016-01-01/2016-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2016/41/,Auckland Sea Level Data 2016 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2016/40/,Auckland Sea Level Data 2016 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
"Auckland, Sea Level Data 2017","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2017-01-01/2017-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2017/41/,Auckland Sea Level Data 2017 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2017/40/,Auckland Sea Level Data 2017 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
