title,descrpition,Themes,Data Type,Data Sub-type,licence,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,temporal range,temporal start,temporal end,spatial,depth,distribution.0.downloadURL,distribution.0.title
HS68 Approaches To Napier Hydrographic Survey,Aids to Navigation Data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in the vicinity of Napier harbour between 21-05-2019 and 28-06-2019.,Survey,Ancillary observations,Aids to Navigation Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,21-05-2019-28-06-2019,21-05-2019,28-06-2019,Napier,variable,None,HS68 Approaches To Napier Hydrographic Survey_Survey_Ancillary observations_Aids to Navigation Data
HS68 Approaches To Napier Hydrographic Survey,Ground Sampling collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in the vicinity of Napier harbour between 21-05-2019 and 28-06-2019.,Hydrography,Ancillary observations,Ground Sampling,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,21-05-2019-28-06-2019,21-05-2019,28-06-2019,Napier,variable,None,HS68 Approaches To Napier Hydrographic Survey_Hydrography_Ancillary observations_Ground Sampling
HS68 Approaches To Napier Hydrographic Survey,Navigation and Motion Data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in the vicinity of Napier harbour between 21-05-2019 and 28-06-2019.,Survey,Navigation,Navigation and Motion Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,21-05-2019-28-06-2019,21-05-2019,28-06-2019,Napier,variable,None,HS68 Approaches To Napier Hydrographic Survey_Survey_Navigation_Navigation and Motion Data
HS68 Approaches To Napier Hydrographic Survey,Processed Bathymetry collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in the vicinity of Napier harbour between 21-05-2019 and 28-06-2019.,Hydrography,Bathymetry,Processed Bathymetry,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,21-05-2019-28-06-2019,21-05-2019,28-06-2019,Napier,variable,None,HS68 Approaches To Napier Hydrographic Survey_Hydrography_Bathymetry_Processed Bathymetry
HS68 Approaches To Napier Hydrographic Survey,Processed Gridded Bathymetry collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in the vicinity of Napier harbour between 21-05-2019 and 28-06-2019.,Hydrography,Bathymetry,Processed Gridded Bathymetry,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,21-05-2019-28-06-2019,21-05-2019,28-06-2019,Napier,variable,None,HS68 Approaches To Napier Hydrographic Survey_Hydrography_Bathymetry_Processed Gridded Bathymetry
HS68 Approaches To Napier Hydrographic Survey,Processed Sound Velocity Profiles and Temperature collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in the vicinity of Napier harbour between 21-05-2019 and 28-06-2019.,Hydrography,Oceanographic observations,Processed Sound Velocity Profiles and Temperature,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,21-05-2019-28-06-2019,21-05-2019,28-06-2019,Napier,variable,None,HS68 Approaches To Napier Hydrographic Survey_Hydrography_Oceanographic observations_Processed Sound Velocity Profiles and Temperature
HS68 Approaches To Napier Hydrographic Survey,Report of Survey collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in the vicinity of Napier harbour between 21-05-2019 and 28-06-2019.,Survey,Report,Report of Survey,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,21-05-2019-28-06-2019,21-05-2019,28-06-2019,Napier,variable,None,HS68 Approaches To Napier Hydrographic Survey_Survey_Report_Report of Survey
HS68 Approaches To Napier Hydrographic Survey,Summary of Sound Velocity Profiles and Temperature data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in the vicinity of Napier harbour between 21-05-2019 and 28-06-2019.,Hydrography,Oceanographic observations,Summary of Sound Velocity Profiles and Temperature,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,21-05-2019-28-06-2019,21-05-2019,28-06-2019,Napier,variable,None,HS68 Approaches To Napier Hydrographic Survey_Hydrography_Oceanographic observations_Summary of Sound Velocity Profiles and Temperature
HS68 Approaches To Napier Hydrographic Survey,Tide Data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in the vicinity of Napier harbour between 21-05-2019 and 28-06-2019.,Hydrography,Sea Level,Tide Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,21-05-2019-28-06-2019,21-05-2019,28-06-2019,Napier,variable,None,HS68 Approaches To Napier Hydrographic Survey_Hydrography_Sea Level_Tide Data
HS68 Approaches To Napier Hydrographic Survey,Water column clarity data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in the vicinity of Napier harbour between 21-05-2019 and 28-06-2019.,Hydrography,Water column,Water Column Clarity Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,21-05-2019-28-06-2019,21-05-2019,28-06-2019,Napier,variable,None,HS68 Approaches To Napier Hydrographic Survey_Hydrography_Water column_Water Column Clarity Data
HS67 Stewart Island Hydrographic Survey,Mosaic Imagery collected as part of the Royal Australian Navy bathymetric LiDAR survey in  Stewart Island between 11-02-2019 and 27-04-2019.,Hydrography,Imagery,Mosaic Imagery,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,11-02-2019-27-04-2019,11-02-2019,27-04-2019,Stewart Island,variable,None,HS67 Stewart Island Hydrographic Survey_Hydrography_Imagery_Mosaic Imagery
HS67 Stewart Island Hydrographic Survey,Processed Gridded Bathymetry collected as part of the Royal Australian Navy bathymetric LiDAR survey in  Stewart Island between 11-02-2019 and 27-04-2019.,Hydrography,Bathymetry,Processed Gridded Bathymetry,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,11-02-2019-27-04-2019,11-02-2019,27-04-2019,Stewart Island,variable,None,HS67 Stewart Island Hydrographic Survey_Hydrography_Bathymetry_Processed Gridded Bathymetry
HS67 Stewart Island Hydrographic Survey,Raw Bathymetry collected as part of the Royal Australian Navy bathymetric LiDAR survey in  Stewart Island between 11-02-2019 and 27-04-2019.,Hydrography,Bathymetry,Raw Bathymetry,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,11-02-2019-27-04-2019,11-02-2019,27-04-2019,Stewart Island,variable,None,HS67 Stewart Island Hydrographic Survey_Hydrography_Bathymetry_Raw Bathymetry
HS67 Stewart Island Hydrographic Survey,Report of Survey collected as part of the Royal Australian Navy bathymetric LiDAR survey in  Stewart Island between 11-02-2019 and 27-04-2019.,Survey,Report,Report of Survey,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,11-02-2019-27-04-2019,11-02-2019,27-04-2019,Stewart Island,variable,None,HS67 Stewart Island Hydrographic Survey_Survey_Report_Report of Survey
HS67 Stewart Island Hydrographic Survey,RGB Mosaic collected as part of the Royal Australian Navy bathymetric LiDAR survey in  Stewart Island between 11-02-2019 and 27-04-2019.,Hydrography,Imagery,RGB Mosaic,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,11-02-2019-27-04-2019,11-02-2019,27-04-2019,Stewart Island,variable,None,HS67 Stewart Island Hydrographic Survey_Hydrography_Imagery_RGB Mosaic
HS67 Stewart Island Hydrographic Survey,Tide Data collected as part of the Royal Australian Navy bathymetric LiDAR survey in  Stewart Island between 11-02-2019 and 27-04-2019.,Hydrography,Sea level,Tide Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,11-02-2019-27-04-2019,11-02-2019,27-04-2019,Stewart Island,variable,None,HS67 Stewart Island Hydrographic Survey_Hydrography_Sea level_Tide Data
HS65 Cavalli Passage Hydrographic Survey,Ground Sampling collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Ancillary observations,Ground Sampling,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Ancillary observations_Ground Sampling
HS65 Cavalli Passage Hydrographic Survey,Navigation and Motion Data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Survey,Navigation,Navigation and Motion Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Survey_Navigation_Navigation and Motion Data
HS65 Cavalli Passage Hydrographic Survey,Processed Bathymetry collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Bathymetry,Processed Bathymetry,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Bathymetry_Processed Bathymetry
HS65 Cavalli Passage Hydrographic Survey,Processed Gridded Bathymetry collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Bathymetry,Processed Gridded Bathymetry,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Bathymetry_Processed Gridded Bathymetry
HS65 Cavalli Passage Hydrographic Survey,Processed Sound Velocity Profiles collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Oceanographic observations,Processed Sound Velocity Profiles,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Oceanographic observations_Processed Sound Velocity Profiles
HS65 Cavalli Passage Hydrographic Survey,Raw Bathymetry collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Bathymetry,Raw Bathymetry,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Bathymetry_Raw Bathymetry
HS65 Cavalli Passage Hydrographic Survey,Raw Seafloor reflectance Seafloor reflectance/ backscatter collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Seafloor reflectance/ backscatter,Raw Seafloor reflectance,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Seafloor reflectance/ backscatter_Raw Seafloor reflectance
HS65 Cavalli Passage Hydrographic Survey,Raw Sound Velocity Profiles collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Oceanographic observations,Raw Sound Velocity Profiles,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Oceanographic observations_Raw Sound Velocity Profiles
HS65 Cavalli Passage Hydrographic Survey,Report of Survey collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Survey,Report,Report of Survey,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Survey_Report_Report of Survey
HS65 Cavalli Passage Hydrographic Survey,Sea Surface Temperature collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Water column,Sea Surface Temperature,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Water column_Sea Surface Temperature
HS65 Cavalli Passage Hydrographic Survey,Summary of Sound Velocity Profiles collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Oceanographic observations,Summary of Sound Velocity Profiles,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Oceanographic observations_Summary of Sound Velocity Profiles
HS65 Cavalli Passage Hydrographic Survey,Surface Sound Velocity data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Oceanographic observations,Surface Sound Velocity Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,0,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Oceanographic observations_Surface Sound Velocity Data
HS65 Cavalli Passage Hydrographic Survey,Tide data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Sea level,Tide data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Sea level_Tide data
HS65 Cavalli Passage Hydrographic Survey,Water column clarity data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Hydrography,Water column,Water Column Clarity Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Hydrography_Water column_Water Column Clarity Data
HS65 Cavalli Passage Hydrographic Survey,Wrecks & Obstructions data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Cavalli Passage between 03-09-2018 and 02-11-2018.,Infrastructure,Hazards,Wrecks and Obstructions Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,03-09-2018-02-11-2018,03-09-2018,02-11-2018,Cavalli Island,variable,None,HS65 Cavalli Passage Hydrographic Survey_Infrastructure_Hazards_Wrecks and Obstructions Data
HS59 Eastern Bay of Plenty Hydrographic Survey,Aids to Navigation Data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Eastern Bay of Plenty between 01-08-2018 and 24-01-2019.,Survey,Ancillary observations,Aids to Navigation Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,01-08-2018-24-01-2019,01-08-2018,24-01-2019,Bay of Plenty,variable,None,HS59 Eastern Bay of Plenty Hydrographic Survey_Survey_Ancillary observations_Aids to Navigation Data
HS59 Eastern Bay of Plenty Hydrographic Survey,Calibrations Data collected as part of LINZ commissioned hydrographic survey using a multibeam echosounder in Eastern Bay of Plenty between 01-08-2018 and 24-01-2019.,Survey,Data Pack,Calibrations Data,CC-BY-4.0,LINZ,hydro@linz.govt.nz,Hydrography Team,044600110,hydro@linz.govt.nz,https://data.linz.govt.nz,01-08-2018-24-01-2019,01-08-2018,24-01-2019,Bay of Plenty,variable,None,HS59 Eastern Bay of Plenty Hydrographic Survey_Survey_Data Pack_Calibrations Data
